
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server

  2025-08-17 22:04:15 .............................................................. ~ 0s
  2025-08-17 22:04:27 .............................................................. ~ 0s
  2025-08-17 22:04:27 .............................................................. ~ 0s
  2025-08-17 22:06:25 .............................................................. ~ 1s
  2025-08-17 22:10:58 .............................................................. ~ 0s
  2025-08-17 22:10:58 .............................................................. ~ 0s
  2025-08-17 22:12:13 .............................................................. ~ 0s
  2025-08-17 22:12:13 .............................................................. ~ 0s
  2025-08-17 22:12:54 .............................................................. ~ 0s
  2025-08-17 22:12:54 .............................................................. ~ 0s
  2025-08-17 22:12:54 .............................................................. ~ 0s
  2025-08-17 22:12:54 .............................................................. ~ 0s
  2025-08-17 22:12:59 .............................................................. ~ 0s
  2025-08-17 22:12:59 .............................................................. ~ 0s
  2025-08-17 22:13:37 .............................................................. ~ 0s
  2025-08-17 22:13:37 .............................................................. ~ 0s
  2025-08-17 22:13:42 .............................................................. ~ 0s
  2025-08-17 22:13:42 .............................................................. ~ 0s
  2025-08-17 22:13:48 .............................................................. ~ 1s
  2025-08-17 22:13:49 .............................................................. ~ 0s
  2025-08-17 22:14:05 .............................................................. ~ 0s
  2025-08-17 22:14:05 .............................................................. ~ 0s
  2025-08-17 22:14:05 .............................................................. ~ 0s
  2025-08-17 22:14:05 .............................................................. ~ 0s
  2025-08-17 22:16:05 .............................................................. ~ 0s
  2025-08-17 22:16:05 .............................................................. ~ 0s
  2025-08-17 22:16:05 .............................................................. ~ 0s
  2025-08-17 22:16:05 .............................................................. ~ 0s
  2025-08-17 22:16:59 .............................................................. ~ 0s
  2025-08-17 22:16:59 .............................................................. ~ 0s
  2025-08-17 22:16:59 .............................................................. ~ 0s
  2025-08-17 22:16:59 .............................................................. ~ 0s
  2025-08-17 22:18:44 .............................................................. ~ 0s
  2025-08-17 22:18:44 .............................................................. ~ 0s
  2025-08-17 22:20:15 .............................................................. ~ 0s
  2025-08-17 22:20:15 .............................................................. ~ 0s
  2025-08-17 22:20:15 .............................................................. ~ 0s
  2025-08-17 22:20:15 .............................................................. ~ 0s
  2025-08-17 22:20:43 .............................................................. ~ 0s
  2025-08-17 22:20:43 .............................................................. ~ 0s
  2025-08-17 22:21:37 .............................................................. ~ 0s
  2025-08-17 22:21:37 .............................................................. ~ 0s
  2025-08-17 22:22:06 .............................................................. ~ 0s
  2025-08-17 22:22:06 .............................................................. ~ 0s
  2025-08-17 22:23:01 .............................................................. ~ 0s
  2025-08-17 22:23:01 .............................................................. ~ 1s
  2025-08-17 22:23:02 .............................................................. ~ 0s
  2025-08-17 22:23:02 .............................................................. ~ 0s
  2025-08-17 22:29:35 .............................................................. ~ 0s
